company_name,ticker,exchanges,cik,erp_vendors,filing_count,sic_description,sic,category,address_city,address_state,address_zip,phone,website,keywords_found,filing_type,filed_date,biz_location,biz_state,inc_state,all_tickers,fiscal_year_end,address_street
Banner Acquisition Corp.,,,1852332,Salesforce,1,Blank Checks,6770,<br>Emerging growth company,LEHI,UT,84043,801-712-3708,,"""Salesforce implementation""",10-K,2023-04-17,"Lehi, UT",UT,DE,,1231,1633 W. INNOVATION WAY
Worldwide Webb Acquisition Corp.,AERT,"Nasdaq,Nasdaq",1853044,Salesforce,1,Services-Management Consulting Services,6770,<br>Emerging growth company,GEORGE TOWN,,,415-629-9066,,"""Salesforce implementation""",10-K,2023-03-31,"Orem, UT",UT,,"AERT,AERTW",0331,190 ELGIN AVENUE
OUTFRONT Media Inc.,OUT,NYSE,1579877,Salesforce,1,Real Estate Investment Trusts,6798,Large accelerated filer,NEW YORK,NY,10016,212-297-6400,,"""Sales Cloud""",10-K,2026-02-26,"New York, NY",NY,MD,OUT,1231,90 PARK AVENUE
Social Leverage Acquisition Corp I,,,1834755,Salesforce,1,Finance Services,6199,<br>Emerging growth company,SCOTTSDALE,AZ,85258,(302) 492-7522,,"""MuleSoft""",10-K,2023-03-29,"Scottsdale, AZ",AZ,,,1231,8390 E. VIA DE VENTURA SUITE F110-207
Elliott Opportunity II Corp.,,,1843862,Salesforce,1,Blank Checks,6770,<br>Emerging growth company,WEST PALM BEACH,FL,33401,(212) 478-2370,,"""MuleSoft""",10-K,2023-03-16,"West Palm Beach, FL",FL,E9,,0131,"360 S ROSEMARY AVE, 18TH FLOOR,"
CVENT HOLDING CORP.,,,1827075,Salesforce,1,Services-Prepackaged Software,7372,Accelerated filer,TYSONS,VA,22102,(703) 226-3500,,"""Salesforce integration""",10-K,2023-03-14,"Tysons, VA",VA,E9,,1231,"1765 GREENSBORO STATION PLACE, 7TH FLOOR"
"ZIFF DAVIS, INC.",ZD,Nasdaq,1084048,Oracle,1,Telegraph & Other Message Communications,4822,Large accelerated filer,NEW YORK,NY,10010,212-503-3500,,"""Oracle ERP""",10-K,2023-03-01,"New York, NY",NY,,ZD,1231,360 PARK AVE SOUTH
"EXP World Holdings, Inc.",EXPI,Nasdaq,1495932,Oracle,1,Real Estate Agents & Managers (For Others),6531,Large accelerated filer,BELLINGHAM,WA,98226,360-685-4206,,"""Oracle ERP""",10-K,2023-02-28,"Bellingham, WA",WA,DE,EXPI,1231,"2219 RIMLAND DR., SUITE 301"
Bally's Corp,BALY,NYSE,1747079,Oracle,1,Hotels & Motels,7011,Accelerated filer<br>Smaller reporting company,PROVIDENCE,RI,02903,(401) 475-8474,,"""Oracle ERP""",10-K,2026-03-23,"Providence, RI",RI,DE,BALY,1231,100 WESTMINSTER STREET
"T2 Biosystems, Inc.",TTOO,OTC,1492674,Oracle,1,Surgical & Medical Instruments & Apparatus,3841,Non-accelerated filer<br>Smaller reporting company,LEXINGTON,MA,02421,781-457-1200,,"""Oracle ERP""",10-K,2024-04-01,"Lexington, MA",MA,DE,TTOO,1231,101 HARTWELL AVENUE
BRIGHTCOVE INC,BCOV,,1313275,Oracle,1,Services-Computer Processing & Data Preparation,7374,Accelerated filer,BOSTON,MA,02210,(888) 882-1880,,"""Oracle Fusion""",10-Q,2024-11-12,"Boston, MA",MA,DE,,1231,281 SUMMER STREET
HERBALIFE LTD.,HLF,NYSE,1180262,Oracle,1,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",5122,Large accelerated filer,GEORGE TOWN,E9,00000,310 410 9600,,"""Oracle Fusion""",10-K,2026-02-18,"George Town, E9",E9,E9,HLF,1231,P.O. BOX 309GT
Encompass Health Corp,EHC,NYSE,785161,Oracle,1,Services-Hospitals,8060,Large accelerated filer,BIRMINGHAM,AL,35242,205-967-7116,,"""Oracle Fusion""",10-K,2026-02-26,"Birmingham, AL",AL,DE,EHC,1231,9001 LIBERTY PARKWAY
EXTREME NETWORKS INC,EXTR,Nasdaq,1078271,Oracle,1,Computer Communications Equipment,3576,Large accelerated filer,MORRISVILLE,NC,27560,408-579-2800,,"""Oracle HCM""",10-Q,2023-04-27,"Morrisville, NC",NC,DE,EXTR,0630,2121 RDU CENTER DRIVE
"MONRO, INC.",MNRO,Nasdaq,876427,Oracle,1,"Services-Automotive Repair, Services & Parking",7500,Large accelerated filer,FAIRPORT,NY,14450,1-800-876-6676,,"""Oracle HCM""",10-Q,2026-01-28,"Fairport, NY",NY,NY,MNRO,0328,"295 WOODCLIFF DRIVE, SUITE 202"
